,department,last_name,salary,uid,file_id
0,marketing,Kinney,96996,f6c9b847-6c13-49af-b8fb-84000f68f30a,3
1,marketing,Robinson,147907,40494185-65aa-4026-9281-d22b17c39a6a,3
2,hr,Brown,101864,c6c34398-de27-45a3-abe3-5186a758ac0f,3
3,data science,Corum,133648,d18119d4-d3dc-4201-b489-5cb861541f66,3
4,accounting,Handcock,103760,258d4a48-b367-4bc1-b4f4-6689887fb4d1,3
5,hr,Corum,123601,1013d4c4-3644-44e3-a8ed-ce37ea54a642,3
6,hr,Smith,75664,80b196d5-2658-4b82-8b3e-9240e41b2967,3
7,data science,Johnson,69111,ec852f83-de16-4993-b393-c6cc96ab180d,3
8,hr,Smith,131649,02e9f2ef-398c-45d2-8dda-71f07e763db7,3
9,hr,McNamara,117870,563ef7cd-041f-4395-a95d-a9c061f00c93,3
10,accounting,Johnson,113174,e9113a7a-43a8-4e9a-a34c-47f45e5e39bf,3
11,accounting,McNamara,140541,7017c887-d941-4e4b-8f49-80c74a536236,3
12,marketing,Geno,122741,fb3011dd-19b3-42ae-84a7-b496937442d6,3
13,accounting,Handcock,99243,539d02eb-a12f-48b7-8985-8a209ca30f0e,3
14,hr,Brown,70922,d697803c-59a9-4392-9e2b-723096597e6a,3
15,data science,Thomas,100211,0fdcf81d-61f8-4aca-a8b3-33a25222576b,3
16,accounting,Handcock,116319,2228a98e-10cd-4a11-82e3-a534680864cf,3
17,hr,Davis,65464,c952c45f-1617-43de-b526-02510878c481,3
