,department,last_name,salary,uid,file_id
0,accounting,Jones,65938,3bace09c-72ef-44a7-8b88-066ab0d1f198,7
1,hr,Philips,108016,a3cbaf7e-8511-4382-9e23-2460b750c57f,7
2,data science,Miller,122759,3b83a251-28df-4f8b-9734-0ef5cd2dee6f,7
3,accounting,Philips,77590,d15c66cf-3604-4540-86b6-c2885144db06,7
4,hr,Jouard,130211,700284f8-3418-434c-a923-fd5571114ab2,7
5,accounting,Williams,120773,b61f26ad-3c21-4214-90fa-abf173186ef6,7
6,marketing,McCoy,94862,aa3e41db-1466-4158-b2ee-54d0a262e40c,7
7,hr,Thomas,103350,f82dce46-3d33-4392-b751-c7569af7f066,7
8,marketing,Philips,141134,21760f18-1e5d-4dc1-bd45-bc9c6b9366f8,7
9,data science,Robinson,101071,846dba7f-9a3b-4b01-8d47-d10e6dd34457,7
