,department,last_name,salary,uid,file_id
0,marketing,Carpenter,91466,552ab9b4-cf57-40fc-920c-54a414f24c7a,5
1,data science,Williams,141488,612d62e2-f48f-4236-9f62-d7d8bf998209,5
2,hr,Fuller,89058,e6b5b3e4-2792-4b42-972e-e5343208a67d,5
3,accounting,Jouard,122764,c1543787-9e86-4f49-9cb8-45b5e5219c6f,5
4,data science,Miller,140700,14030b2b-8d41-488e-aaab-8b5993c5f98b,5
5,hr,Jouard,141868,f4892586-3f8e-4e4c-8d77-9593c552ebfe,5
6,data science,Davis,78552,f6bdb880-7624-4202-8bd7-26d2e2af5e6b,5
7,marketing,Smith,126082,553fef04-2cc2-4ef2-9706-2bb544563e91,5
8,data science,Geno,124485,5f3c6b64-46f0-4b93-8dd7-c089b3ad898e,5
9,marketing,Jouard,113336,76f23fc0-46c5-49a9-ab35-111e957e87ea,5
10,accounting,Geno,111128,a094c811-12a6-47da-a89a-9115b89d6ba6,5
11,marketing,Robinson,73138,5ef08a5b-9d0c-4eeb-ade3-470574423e79,5
12,accounting,Thompson,61086,c93ab504-fee8-4731-8b75-2f3484d5b3de,5
13,marketing,Brown,142031,74b51935-27c5-41b6-bf38-8167fabbccce,5
