,department,last_name,salary,uid,file_id
0,data science,White,94638,b6d79616-30a3-443f-b0dc-3cb144d3430d,4
1,data science,Hadley,115889,d3d90a9f-e81c-4e88-8837-f0ec2f68589a,4
2,data science,Thompson,140853,d04d3072-ce72-4ad7-8dce-be2ddd2f521e,4
3,data science,Fuller,147336,067210ce-7ea1-455f-bc8d-b9adff55c122,4
4,accounting,McCoy,138826,2db974dd-f995-4bda-87fc-201064de7c98,4
5,data science,Stevens,60266,ea844f04-93a8-4ab8-8b04-5bed10437049,4
6,data science,Geno,142034,688a6f6e-b6f8-42c4-82d3-07cd6868a9fe,4
7,marketing,Smith,118467,bb847ce2-bb79-4129-abc8-e5827356be8b,4
8,accounting,Johnson,97341,fe371e0e-7aa0-4ad4-bd25-c2ae7482afda,4
9,data science,Carpenter,69559,1041d4c9-de32-4eef-aea2-ddf508a1db4a,4
10,marketing,Davis,109310,629bd838-35bb-4c8b-b106-b493ac7c6fa1,4
