,department,last_name,salary,uid,file_id
0,hr,Thompson,108524,2212cd7c-b842-4b7d-9906-7b5ba36c7bc3,0
1,hr,White,65514,2b51d63e-573a-4d3c-a417-95d3ce28d17b,0
2,data science,Smith,94105,b148a38b-ab44-42f3-b217-28e5362dbee5,0
3,accounting,McNamara,76285,bcb45589-61a6-41cc-934b-b456a84430e9,0
4,data science,Thompson,66625,9bc7f945-d7ca-4922-9016-6ceaf9537234,0
5,accounting,Smith,91954,f9f2066c-d18e-4d8a-b913-f0e52f24f5d3,0
6,data science,Johnson,103975,19778375-695f-4c39-becd-daab623244f5,0
7,marketing,White,104498,ebca9997-848e-4018-a315-50637b0a5476,0
8,accounting,Hadley,147968,a6508ccc-bc34-4766-9baa-138c000122e5,0
9,marketing,Jouard,104565,af44c0aa-d4ab-4b71-aca5-1365a16eb225,0
10,marketing,Jones,67526,a5ee4e68-00c6-46a3-b080-0e528c435cef,0
11,data science,Williams,97204,a5277490-75e9-4d78-9429-9ede546c2b9e,0
12,marketing,Jones,120068,670771bf-7021-4486-bb5e-c3c6732a84d8,0
13,accounting,Murray,137992,dfd979af-f581-4e3d-9d6f-e29d7e464911,0
14,hr,McNamara,60560,b96a0f4b-f4ec-43a8-a75d-9a5bfe4bf045,0
15,hr,Johnson,79289,c6c5d7dc-97af-4707-8336-4490ac7fe432,0
16,data science,Jouard,114194,3cb6e853-1614-4802-9382-d6319e923a44,0
17,marketing,Jouard,137381,5e430b1b-06cc-4bbf-ab8f-f583a1b0575c,0
