,department,last_name,salary,uid,file_id
0,data science,Corum,96609,a42dcdc9-50f6-4d47-a84e-b21df33e31fe,6
1,hr,Murray,128795,ee31605d-bd48-4af2-a794-0b2560f0b4ce,6
2,data science,Robinson,135327,6e10684e-7a4a-4885-ae5b-29601263bef2,6
3,data science,Handcock,80558,32933329-4be3-4120-8e5c-b3542ccc7434,6
4,accounting,Smith,92775,fa0e6cb3-22f9-4dd9-b830-537a2220baee,6
5,data science,White,106967,ed249b69-34e8-4c55-9375-e0bf5f2df475,6
6,data science,Smith,96553,01d3ee69-24ab-4d95-b2b3-07bd4a200b0c,6
7,accounting,Hadley,142558,8579674d-a086-4f65-a02c-4800ce39e8c0,6
8,accounting,Thomas,114320,2bfcbd73-67f3-41e3-83c9-f1803657f0cd,6
9,data science,Smith,121376,8916bf36-f121-4bbf-b8f9-32fe74848f48,6
10,accounting,Hadley,100896,2303be85-902c-481f-92e1-c45a331eec68,6
11,hr,White,133776,fa68f926-7f08-48d6-b7ee-de6b0224f89a,6
12,marketing,McNamara,99961,4abe3c9b-bf73-4bf9-94a1-9a94b0b48d0a,6
13,hr,Philips,64224,26533591-c77f-47d8-ac57-071b449d3f76,6
14,marketing,Murray,119859,5f14d287-143e-44cf-99a5-09beed11f256,6
15,data science,Thomas,108600,2c03a86c-2b39-443d-85d1-fcc4d5ae85f0,6
16,accounting,Smith,109621,04ef9376-1082-41b5-afd2-bf8dd555c01b,6
17,marketing,Thompson,80637,0879636b-19ad-46b0-b8c7-5dd09315c6c2,6
18,data science,Johnson,108471,00796315-45c3-48d3-9f46-7654eb2964c0,6
19,marketing,Geno,65474,423f0e14-edf6-48a6-9e8f-27a32f7c2437,6
